possession_side,time_band,time_start,time_end,score_diff_label,score_diff_min,score_diff_max,call,detail,notes,raw_text
opponent_possession,0:52-0:40.1,0:52,0:40.1,-4,-4,-4,"1 TRAP, THEN FOUL",,,"1 TRAP, THEN FOUL"
opponent_possession,0:52-0:40.1,0:52,0:40.1,-3,-3,-3,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:52-0:40.1,0:52,0:40.1,-2,-2,-2,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:52-0:40.1,0:52,0:40.1,-1,-1,-1,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:52-0:40.1,0:52,0:40.1,0,0,0,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:52-0:40.1,0:52,0:40.1,1,1,1,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:52-0:40.1,0:52,0:40.1,2,2,2,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:52-0:40.1,0:52,0:40.1,3,3,3,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:52-0:40.1,0:52,0:40.1,4+,4,,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,-5,-5,-5,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,-4,-4,-4,"1 TRAP, THEN FOUL",,,"1 TRAP, THEN FOUL"
opponent_possession,0:40-0:35.1,0:40,0:35.1,-3,-3,-3,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,-2,-2,-2,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,-1,-1,-1,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,0,0,0,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,1,1,1,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,2,2,2,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,3,3,3,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:40-0:35.1,0:40,0:35.1,4+,4,,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:35-0:30.1,0:35,0:30.1,-5,-5,-5,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:35-0:30.1,0:35,0:30.1,-4,-4,-4,"1 TRAP, THEN FOUL",,,"1 TRAP, THEN FOUL"
opponent_possession,0:35-0:30.1,0:35,0:30.1,-3,-3,-3,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:35-0:30.1,0:35,0:30.1,-2,-2,-2,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:35-0:30.1,0:35,0:30.1,-1,-1,-1,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:35-0:30.1,0:35,0:30.1,0,0,0,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:35-0:30.1,0:35,0:30.1,1,1,1,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:35-0:30.1,0:35,0:30.1,2,2,2,DEFEND NORMALLY,,,DEFEND NORMALLY
opponent_possession,0:35-0:30.1,0:35,0:30.1,3,3,3,NO 3 / DEFENSE,,,NO 3 / DEFENSE
opponent_possession,0:35-0:30.1,0:35,0:30.1,4+,4,,NO 3 / DEFENSE,,,NO 3 / DEFENSE
opponent_possession,0:30-0:28.1,0:30,0:28.1,-5,-5,-5,FOUL,,,FOUL
opponent_possession,0:30-0:28.1,0:30,0:28.1,-4,-4,-4,"1 TRAP, THEN FOUL",,,"1 TRAP, THEN FOUL"
opponent_possession,0:30-0:28.1,0:30,0:28.1,-3,-3,-3,"1 TRAP, THEN FOUL",,,"1 TRAP, THEN FOUL"
